Verbe,Pronom,Présent,Conditionnel,Passé Composé,Futur Simple,Subjonctif Présent,Subjonctif Passé
Être,je,suis,serais,ai été,serai,sois,aie été
Être,tu,es,serais,as été,seras,sois,aies été
Être,il/elle,est,serait,a été,sera,soit,ait été
Être,nous,sommes,serions,avons été,serons,soyons,ayons été
Être,vous,êtes,seriez,avez été,serez,soyez,ayez été
Être,ils/elles,sont,seraient,ont été,seront,soient,aient été
Avoir,je,ai,aurais,ai eu,aurai,aie,aie eu
Avoir,tu,as,aurais,as eu,auras,aies,aies eu
Avoir,il/elle,a,aurait,a eu,aura,ait,ait eu
Avoir,nous,avons,aurions,avons eu,aurons,ayons,ayons eu
Avoir,vous,avez,auriez,avez eu,aurez,ayez,ayez eu
Avoir,ils/elles,ont,auraient,ont eu,auront,aient,aient eu
Aller,je,vais,irais,suis allé(e),irai,aille,sois allé
Aller,tu,vas,irais,es allé(e),iras,ailles,sois allé
Aller,il/elle,va,irait,est allé(e),ira,aille,soit allé
Aller,nous,allons,irions,sommes allé(e)s,irons,allions,soyons allés
Aller,vous,allez,iriez,êtes allé(e)(s),irez,alliez,soyez allé(s)
Aller,ils/elles,vont,iraient,sont allé(e)s,iront,aillent,soient allés
Venir,je,viens,viendrais,suis venu(e),viendrai,vienne,sois venu
Venir,tu,viens,viendrais,es venu(e),viendras,viennes,sois venu
Venir,il/elle,vient,viendrait,est venu(e),viendra,vienne,soit venu
Venir,nous,venons,viendrions,sommes venu(e)s,viendrons,venions,soyons venus
Venir,vous,venez,viendriez,êtes venu(e)(s),viendrez,veniez,soyez venu(s)
Venir,ils/elles,viennent,viendraient,sont venu(e)s,viendront,viennent,soient venus
Faire,je,fais,ferais,ai fait,ferai,fasse,aie fait
Faire,tu,fais,ferais,as fait,feras,fasses,aies fait
Faire,il/elle,fait,ferait,a fait,fera,fasse,ait fait
Faire,nous,faisons,ferions,avons fait,ferons,fassions,ayons fait
Faire,vous,faites,feriez,avez fait,ferez,fassiez,ayez fait
Faire,ils/elles,font,feraient,ont fait,feront,fassent,aient fait
Mettre,je,mets,mettrais,ai mis,mettrai,mette,aie mis
Mettre,tu,mets,mettrais,as mis,mettras,mettes,aies mis
Mettre,il/elle,met,mettrait,a mis,mettra,mette,ait mis
Mettre,nous,mettons,mettrions,avons mis,mettrons,mettions,ayons mis
Mettre,vous,mettez,mettriez,avez mis,mettrez,mettiez,ayez mis
